,Original,BLUR5,BLUR10,BLUR15,BLUR20,BLUR25
halloweenthemed,1,0,0,0,0,0
halolike,0,0,0,1,0,0
hand,11,3,8,1,6,2
handlebars,0,0,3,0,0,0
handling,1,0,0,0,0,0
hands,6,4,5,3,1,0
handstand,0,1,0,0,0,0
hanging,4,1,0,0,0,0
hangs,1,0,1,0,0,0
hard,0,0,0,0,0,1
harmonious,0,0,0,0,1,3
harsh,0,0,0,0,1,1
hat,5,4,1,2,0,0
hats,0,1,0,0,0,0
having,0,1,0,1,0,0
hazy,0,0,0,2,2,3
head,4,3,3,2,1,1
headlight,0,2,1,0,0,0
headlights,1,0,0,0,0,0
healthy,0,1,0,0,0,0
heavy,3,1,0,0,0,0
hedge,1,0,0,0,0,0
held,1,2,0,0,0,1
helm,0,1,0,0,0,0
helmet,1,2,2,0,0,0
high,5,3,0,0,0,0
highlighting,3,2,1,5,2,3
highlights,1,1,2,2,7,2
highrise,2,0,1,0,0,0
highway,1,0,0,0,0,0
hill,0,2,2,0,1,1
hills,1,0,0,0,0,0
hillside,1,0,0,0,0,0
him,3,0,0,0,0,0
hint,0,2,15,15,16,15
hinting,1,0,0,1,0,0
hints,0,3,3,10,13,14
historical,0,0,1,0,0,0
hit,2,2,0,0,0,0
hold,0,1,0,0,0,0
holder,0,1,0,0,0,0
holding,29,16,13,4,3,1
holds,5,1,0,0,0,0
home,2,2,1,1,0,0
homely,0,0,0,1,0,0
homey,0,2,0,0,0,0
hood,2,0,0,1,0,0
hoodie,0,1,0,0,0,0
horizon,2,3,2,5,5,3
